Source: IEA. All Rights Reserved,,,,,
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/,,,,,
Units: million registrations,,,,,
,Others,China,United States,Europe,Global market share 
2010,0,0,0,0,0.01
2011,0.02,0.01,0.02,0.01,0.07
2012,0.03,0.01,0.05,0.03,0.17
2013,0.04,0.02,0.1,0.07,0.27
2014,0.04,0.07,0.12,0.1,0.41
2015,0.04,0.22,0.12,0.2,0.67
2016,0.05,0.37,0.16,0.22,0.89
2017,0.11,0.65,0.2,0.31,1.36
2018,0.19,1.17,0.36,0.4,2.3
2019,0.16,1.1,0.33,0.59,2.49
2020,0.17,1.2,0.3,1.4,4.11
2021,0.29,3.35,0.67,2.29,8.57
